Cluster,,household_ID,Cluster,label
0,1929,ID1930,0,normal
0,1931,ID1932,0,normal
0,1939,ID1940,0,normal
0,1944,ID1945,0,high
0,1950,ID1951,0,normal
0,1951,ID1952,0,normal
0,1954,ID1955,0,normal
0,1959,ID1960,0,normal
0,1960,ID1961,0,normal
0,1961,ID1962,0,normal
0,1966,ID1967,0,normal
0,1976,ID1977,0,normal
0,1980,ID1981,0,normal
0,1989,ID1990,0,normal
0,1990,ID1991,0,normal
0,2001,ID2002,0,normal
0,2003,ID2004,0,normal
0,2004,ID2005,0,normal
0,2005,ID2006,0,normal
0,2015,ID2016,0,normal
0,2017,ID2018,0,normal
0,2023,ID2024,0,low
0,2029,ID2030,0,normal
0,2030,ID2031,0,normal
0,2031,ID2032,0,normal
0,2036,ID2037,0,normal
0,2052,ID2053,0,normal
0,2061,ID2062,0,normal
0,2065,ID2066,0,normal
0,2066,ID2067,0,normal
0,2069,ID2070,0,normal
0,2070,ID2071,0,normal
0,2072,ID2073,0,normal
0,2080,ID2081,0,normal
0,2086,ID2087,0,normal
0,2092,ID2093,0,normal
0,2093,ID2094,0,normal
0,2094,ID2095,0,high
0,2098,ID2099,0,normal
0,2099,ID2100,0,normal
0,2108,ID2109,0,normal
0,2112,ID2113,0,normal
0,2134,ID2135,0,normal
0,2140,ID2141,0,normal
0,2144,ID2145,0,low
0,2151,ID2152,0,normal
0,2153,ID2154,0,normal
0,2156,ID2157,0,normal
0,2161,ID2162,0,low
0,2164,ID2165,0,normal
0,2171,ID2172,0,normal
0,2175,ID2176,0,normal
0,2179,ID2180,0,normal
0,2184,ID2185,0,normal
0,2187,ID2188,0,normal
0,2189,ID2190,0,normal
0,2199,ID2200,0,normal
0,2202,ID2203,0,normal
0,2204,ID2205,0,normal
0,2207,ID2208,0,normal
0,2212,ID2213,0,normal
0,2221,ID2222,0,normal
0,2230,ID2231,0,normal
0,2234,ID2235,0,normal
0,2235,ID2236,0,normal
0,2241,ID2242,0,normal
0,2244,ID2245,0,normal
0,2246,ID2247,0,normal
0,2262,ID2263,0,normal
0,2265,ID2266,0,normal
0,2282,ID2283,0,normal
0,2288,ID2289,0,low
0,2301,ID2302,0,normal
0,2315,ID2316,0,normal
0,2317,ID2318,0,normal
0,2324,ID2325,0,low
0,2340,ID2341,0,normal
0,2342,ID2343,0,normal
0,2344,ID2345,0,normal
0,2363,ID2364,0,normal
0,2368,ID2369,0,normal
0,2373,ID2374,0,normal
0,2383,ID2384,0,normal
0,2386,ID2387,0,normal
0,2393,ID2394,0,normal
0,2400,ID2401,0,normal
0,2411,ID2412,0,normal
0,2412,ID2413,0,normal
