household_ID,percent_low_pf,num_records
ID1757,39.0556253928347,12728
ID5295,39.007302737042096,16843
ID3267,38.97189306771996,17469
ID5118,38.963432615747564,27128
ID2581,38.872735405949456,13413
ID1621,38.845401174168295,18396
ID4202,38.81720430107527,17670
ID3376,38.806765215075245,15018
ID5453,38.78007402837754,12968
ID4168,38.696544106043866,31685
ID5438,38.69496579547448,11402
ID5417,38.619926199262,13550
ID2717,38.611250056841435,21991
ID4277,38.58486889717753,17963
ID5340,38.49973666390791,13291
ID5368,38.49738737466459,7081
ID3395,38.42855811352409,21458
ID0154,38.36868231046932,8864
ID4240,38.354671751566336,18355
ID0453,38.29085724469791,11222
ID1429,38.286207108975546,16233
ID5272,38.2716049382716,324
ID5336,38.17070570677279,14071
ID2811,38.15759508084719,8782
ID5402,38.11601835828756,13291
ID5422,38.0331916060897,14582
ID5328,37.922193735369525,8971
ID5463,37.8552343939762,16468
ID4548,37.835967239589344,8669
ID3555,37.823548848992175,9079
ID5456,37.80691118520764,13196
ID5504,37.79499510196812,11229
ID5539,37.760037293863995,17161
ID3806,37.7597207831161,18337
ID4189,37.69452775734254,17671
ID5528,37.69377625047728,13095
ID5500,37.65921313331446,7066
ID5412,37.63542902332938,12645
ID5467,37.50450775333574,2773
ID0250,37.46371958026345,8958
ID4193,37.449904164488586,22956
ID4388,37.43770764119601,9632
ID5538,37.37841229996862,12748
ID2923,37.371487320082245,17508
ID5427,37.294207317073166,13120
ID4838,37.21990307566816,20841
ID1165,37.1946964410328,10031
ID5343,37.178435612556854,13411
ID4370,37.135459253202505,7338
ID1496,37.04735376044568,13283
ID2187,37.02950711577559,18199
ID5314,37.01702685003274,6108
ID1102,37.003685904912984,21433
ID4354,36.972837741243744,22384
ID5558,36.9326623532231,20865
ID4566,36.89114201548263,14597
ID5566,36.87023768907085,8793
ID5362,36.750952545895395,14435
ID2167,36.69090475622839,8389
ID2312,36.65485680543254,6774
ID5557,36.653352596243735,11767
ID5359,36.62722302954813,14451
ID5289,36.586791350087665,13688
ID5509,36.51551312649165,419
ID5441,36.51430565247732,5732
ID3760,36.43938341896959,7201
ID5171,36.286007674431175,18503
ID3389,36.27222868539139,12034
ID2420,36.20147621651176,14632
ID5465,36.15000308394498,16213
ID2774,36.13561793656581,13715
ID1602,36.112971645456575,17916
ID2278,36.06376003933781,24404
ID4728,36.05767215725722,23859
ID2588,36.051647978253484,20601
ID5159,36.051104500902134,20507
ID5495,36.04969227262366,8774
ID1778,35.95683319378547,10749
ID5315,35.93409073809345,13291
ID3399,35.88938935243299,27086
ID3147,35.79788075280721,12646
ID2335,35.794871794871796,17550
ID5561,35.75530035335689,9056
ID3632,35.710559654221626,13419
ID0392,35.6234187364145,28063
ID3279,35.54812648001114,7179
